id,nhom,hs_nhap,chuan,che_do,lam_tron,ky_vong,ket_qua_thuc_te,dung,ghi_chu
1,khai_trien_rut_gon,(x - 5)*(x + 4) - 9,x**2 - x - 29,tuong_duong,,DUNG,DUNG,True,"HS nhập dạng tích chưa khai triển, chuẩn là kết quả expand()"
2,khai_trien_rut_gon,(x - 2)*(x + 5) - 2,x**2 + 3*x - 12,tuong_duong,,DUNG,DUNG,True,"HS nhập dạng tích chưa khai triển, chuẩn là kết quả expand()"
3,khai_trien_rut_gon,(x - 4)*(x - 3) - 6,x**2 - 7*x + 6,tuong_duong,,DUNG,DUNG,True,"HS nhập dạng tích chưa khai triển, chuẩn là kết quả expand()"
4,khai_trien_rut_gon,(x + 4)*(x + 5) + 8,x**2 + 9*x + 28,tuong_duong,,DUNG,DUNG,True,"HS nhập dạng tích chưa khai triển, chuẩn là kết quả expand()"
5,khai_trien_rut_gon,(x - 5)*(x + 3) + 4,x**2 - 2*x - 11,tuong_duong,,DUNG,DUNG,True,"HS nhập dạng tích chưa khai triển, chuẩn là kết quả expand()"
6,khai_trien_rut_gon,(x - 6)**2 - 7,x**2 - 12*x + 29,tuong_duong,,DUNG,DUNG,True,"HS nhập dạng tích chưa khai triển, chuẩn là kết quả expand()"
7,khai_trien_rut_gon,(x - 3)**2 + 7,x**2 - 6*x + 16,tuong_duong,,DUNG,DUNG,True,"HS nhập dạng tích chưa khai triển, chuẩn là kết quả expand()"
8,khai_trien_rut_gon,(x - 6)*(x + 3) + 8,x**2 - 3*x - 10,tuong_duong,,DUNG,DUNG,True,"HS nhập dạng tích chưa khai triển, chuẩn là kết quả expand()"
9,khai_trien_rut_gon,(x - 3)*(x + 5) + 8,x**2 + 2*x - 7,tuong_duong,,DUNG,DUNG,True,"HS nhập dạng tích chưa khai triển, chuẩn là kết quả expand()"
10,khai_trien_rut_gon,(x - 3)*(x + 1) + 5,x**2 - 2*x + 2,tuong_duong,,DUNG,DUNG,True,"HS nhập dạng tích chưa khai triển, chuẩn là kết quả expand()"
11,khai_trien_rut_gon,(x - 2)*(x + 3) - 9,x**2 + x - 15,tuong_duong,,DUNG,DUNG,True,"HS nhập dạng tích chưa khai triển, chuẩn là kết quả expand()"
12,khai_trien_rut_gon,(x + 6)**2 - 4,x**2 + 12*x + 32,tuong_duong,,DUNG,DUNG,True,"HS nhập dạng tích chưa khai triển, chuẩn là kết quả expand()"
13,khai_trien_rut_gon,(x + 1)*(x + 5) + 1,x**2 + 6*x + 6,tuong_duong,,DUNG,DUNG,True,"HS nhập dạng tích chưa khai triển, chuẩn là kết quả expand()"
14,khai_trien_rut_gon,(x - 4)*(x - 2) - 3,x**2 - 6*x + 5,tuong_duong,,DUNG,DUNG,True,"HS nhập dạng tích chưa khai triển, chuẩn là kết quả expand()"
15,khai_trien_rut_gon,(x - 1)*(x + 6) - 6,x**2 + 5*x - 12,tuong_duong,,DUNG,DUNG,True,"HS nhập dạng tích chưa khai triển, chuẩn là kết quả expand()"
16,latex_editor,- 5 x^{2} + 4 x - 6,-5*x**2 + 4*x - 6,tuong_duong,,DUNG,DUNG,True,LaTeX do sympy.latex() xuất ra — mô phỏng đầu ra editor MathLive
